method,code_bits,num_actions,action_dim,mean_abs_row_cosine,collision_rate,occupancy_efficiency,unique_code_ratio,reconstruction_mse,total_ms,source_run
GVLA-Net (Ours),20,1048576,32,0.0,0.6313962936401367,1.0005635757405638,0.632476806640625,0.03158578276634216,17.91017607320007,20260426_170711_proxy_1m_no_ortho
GVLA w/o Orthogonal Reg.,20,1048576,32,0.20842349529266357,0.8945856094360352,0.34831450040628673,0.22017860412597656,0.03246254473924637,16.914653941988945,20260426_170711_proxy_1m_no_ortho
GVLA-Net (Ours),22,1048576,32,0.0,0.22054195404052734,1.0004648097020217,0.8852081298828125,0.03130331635475159,18.427215050905943,20260426_170711_proxy_1m_no_ortho
GVLA w/o Orthogonal Reg.,22,1048576,32,0.1897902637720108,0.7738409042358398,0.4240212789547307,0.3751811981201172,0.032709646970033646,24.005535058677197,20260426_170711_proxy_1m_no_ortho
GVLA-Net (Ours),24,1048576,32,0.0,0.060423851013183594,1.0000893948050675,0.969477653503418,0.03125470504164696,23.11126305721607,20260426_170711_proxy_1m_no_ortho
GVLA w/o Orthogonal Reg.,24,1048576,32,0.21131059527397156,0.6302738189697266,0.5336585934679978,0.5173263549804688,0.032271675765514374,35.186736029572785,20260426_170711_proxy_1m_no_ortho
