method,code_bits,num_actions,action_dim,load_factor,ideal_unique_code_ratio,collision_rate,singleton_rate,unique_code_ratio,occupancy_efficiency,reconstruction_mse,total_ms,source_run
GVLA-Net (Ours),20,1048576,32,1.0,0.6321205588285577,0.6313962936401367,0.3686037063598633,0.632476806640625,1.0005635757405638,0.03158578276634216,23.693829076364636,20260426_163232_proxy_1m_overcomplete
LSH (Random Projection),20,1048576,32,1.0,0.6321205588285577,0.8225440979003906,0.17745590209960938,0.3748340606689453,0.5929787529195154,0.032874032855033875,34.74128502421081,20260426_163232_proxy_1m_overcomplete
PQ,20,1048576,32,1.0,0.6321205588285577,0.633814811706543,0.36618518829345703,0.6306095123291016,0.997609559634864,0.016075462102890015,232.36520495265722,20260426_163232_proxy_1m_overcomplete
GVLA-Net (Ours),22,1048576,32,0.25,0.8847968677143805,0.22054195404052734,0.7794580459594727,0.8852081298828125,1.0004648097020217,0.03130331635475159,66.57920905854553,20260426_163232_proxy_1m_overcomplete
LSH (Random Projection),22,1048576,32,0.25,0.8847968677143805,0.6503372192382812,0.34966278076171875,0.5404853820800781,0.610858154907654,0.03228722885251045,36.516380961984396,20260426_163232_proxy_1m_overcomplete
GVLA-Net (Ours),24,1048576,32,0.0625,0.9693909949843871,0.060423851013183594,0.9395761489868164,0.969477653503418,1.0000893948050675,0.03125470504164696,40.92319996561855,20260426_163446_proxy_1m_pq24
LSH (Random Projection),24,1048576,32,0.0625,0.9693909949843871,0.3815498352050781,0.6184501647949219,0.764897346496582,0.7890493623874661,0.03156714513897896,62.85831693094224,20260426_163446_proxy_1m_pq24
PQ,24,1048576,32,0.0625,0.9693909949843871,0.06112957000732422,0.9388704299926758,0.9691028594970703,0.9997027664907064,0.013692530803382397,288.4022539947182,20260426_163446_proxy_1m_pq24
