bit,candidate_count,support_fraction,entropy_nats,entropy_bits,peak_probability,target_bucket_start,target_bucket_end
1.0,8388608.0,0.5,15.517501116128503,22.38702190722755,2.977646333739109e-07,0.0,8388608.0
2.0,4194304.0,0.25,15.19444049339881,21.920943948908917,3.3706639821157183e-07,4194304.0,8388608.0
3.0,2097152.0,0.125,14.552118602771678,20.99426934264673,5.257593410885028e-07,6291456.0,8388608.0
4.0,1048576.0,0.0625,13.862687444696148,19.99963042985683,9.779867358908456e-07,7340032.0,8388608.0
5.0,524288.0,0.03125,13.169780301109023,18.99997673000715,1.9194828645461098e-06,7864320.0,8388608.0
6.0,262144.0,0.015625,12.476648240141335,17.99999854296792,3.820761526155482e-06,8126464.0,8388608.0
7.0,131072.0,0.0078125,11.783502006369257,16.99999990889408,7.632426301242497e-06,8257536.0,8388608.0
8.0,65536.0,0.00390625,11.090354885011813,15.999999994305233,1.526030490235598e-05,8323072.0,8388608.0
9.0,32768.0,0.001953125,10.397207708152465,14.999999999644066,3.051833603928131e-05,8355840.0,8388608.0
10.0,16384.0,0.0009765625,9.704060527823813,13.999999999977753,6.103553520643382e-05,8372224.0,8388608.0
11.0,8192.0,0.00048828125,9.010913347278324,12.999999999998607,0.00012207050197812663,8380416.0,8388608.0
12.0,4096.0,0.000244140625,8.317766166719283,11.999999999999913,0.000244140719739048,8384512.0,8388608.0
13.0,2048.0,0.0001220703125,7.624618986159394,10.999999999999995,0.0004882812973695141,8386560.0,8388608.0
14.0,1024.0,6.103515625e-05,6.931471805599452,9.999999999999998,0.00097656252368474,8387584.0,8388608.0
15.0,512.0,3.0517578125e-05,6.238324625039507,8.999999999999998,0.0019531250118423357,8388096.0,8388608.0
16.0,256.0,1.52587890625e-05,5.545177444479561,7.999999999999999,0.0039062500059210995,8388352.0,8388608.0
17.0,128.0,7.62939453125e-06,4.852030263919617,7.0,0.007812500002960415,8388480.0,8388608.0
18.0,64.0,3.814697265625e-06,4.1588830833596715,6.0,0.015625000001479934,8388544.0,8388608.0
19.0,32.0,1.9073486328125e-06,3.465735902799726,4.999999999999999,0.03125000000073942,8388576.0,8388608.0
20.0,16.0,9.5367431640625e-07,2.772588722239781,4.0,0.06250000000036862,8388592.0,8388608.0
21.0,8.0,4.76837158203125e-07,2.0794415416798357,3.0,0.12500000000018213,8388600.0,8388608.0
22.0,4.0,2.384185791015625e-07,1.3862943611198904,1.9999999999999998,0.2500000000000867,8388604.0,8388608.0
23.0,2.0,1.1920928955078125e-07,0.6931471805599454,1.0000000000000002,0.5000000000000346,8388606.0,8388608.0
24.0,1.0,5.960464477539063e-08,-0.0,-0.0,1.0,8388607.0,8388608.0
