N,method,unique_code_rate,mean_margin,noise_accuracy,ortho_error,info_overlap
64,Orthogonal W,0.65625,0.18287980556488037,0.578125,4.441199621396663e-07,3.647936352990655e-08
64,Random W,0.578125,0.18943041563034058,0.703125,1.1859205961227417,0.17438922822475433
256,Orthogonal W,0.6171875,0.13646641373634338,0.625,5.752678475801076e-07,3.662156089490054e-08
256,Random W,0.58984375,0.13922007381916046,0.58203125,1.1951546669006348,0.13730767369270325
1024,Orthogonal W,0.6357421875,0.12039411813020706,0.537109375,4.181253530077811e-07,2.046788338816441e-08
1024,Random W,0.5419921875,0.11610030382871628,0.5322265625,1.6299630403518677,0.13735787570476532
4096,Orthogonal W,0.628173828125,0.0949992835521698,0.478759765625,6.402093504220829e-07,2.247550234812934e-08
4096,Random W,0.47705078125,0.09927583485841751,0.4599609375,2.22159481048584,0.15714144706726074
16384,Orthogonal W,0.63189697265625,0.08406990766525269,0.4100341796875,6.167826427372347e-07,2.085780259619696e-08
16384,Random W,0.4647216796875,0.08585676550865173,0.40643310546875,2.3276302814483643,0.13869217038154602
